,영화댓글
203,설마했지만 역시인가 싶은 동양권 표현력이 기대를 너무 했나 싶음뻔한 스토리에 뻔한 연출중국에서 잘 만든 마블스러운 영화였던 느낌타문화를 이용해 영화를 만들면서 그 큰 마블인데도 나라의 이해도가 아직까지도 부족한게 이해가 안됨중국집갔는데 마파두부넣고 낫또넣고 김치넣은 비빔밥이 나온느낌모르는 사람이 먹어보면 맛있다 할수있지만 아는사람이 보면 이게 뭐냐 싶은 여전한 미국의 동양해석그리고 같은 동양인이라 나이가 얼굴에서 너무 느껴지는데 작중 나이가 너무 어려서 받아들이기 너무 어려웠음그냥 영화중 하나라고 보기엔 나쁘진않았고마블의 샹치라고 생각하면 아쉬운 정도의 영화
204,이런 시국이 투자자가 중국인가.. 중국 때문에 죽은 사람이 수백만이 넘는데 생각이 있는건지
205,스토리 허점이 많긴 하지만 양조위로 모든 게 납득 가능함. 액션 씬은 옛 홍콩영화를 보는 거 같았음. 할리웃에선 느끼기 어려운 스피드한 속도감을 오랜만에 느껴서 좋았음. 양조위는 여전히 잘생겼음.
206,"마블이니 눈호강 귀호강 한다는 후기들 믿고 갔어요. 맞긴 한데 주인공.. 미안하지만 더 매력적이고 잘 생길 순 없었나..양조위.. 연기 잘하지만 전작 향기 느낌 워낙 많은 배우이고 카리스마 있는 다른 배우들이 더 있진 않을까.. 아쉬움 한가득이나볼거리는 가득.. 그러나 마지막 결정적 기술은 표현할 게 남아 있지 않아서 그냥 넘어간 느낌..??? ps. 캡틴 마블은 주인공 바꿔야 하지 않나, 같은 여자가 봐도 비호감. 갈 수록 연기 별로..쌈닭 느낌(괜히 시비 거는 느낌의 여캐는 오히려 여혐 조장하는 것 같아서 불쾌)"
207,액션신은 솔직히 좋았음 버스랑 빌딩까지 좋았는데 마지막 부분이 많이 아쉬움 중뽕도 어느정도 있음 중국개봉불가가 아이러니하다 진짜
208,생각보다 꿀잼 ㅋㅋㅋ볼만해요
209,"양자경, 양조위 아니였음 어쩔뻔? 역대 마블 영화중 저는 제일별로였네요."
210,초반부 액션 ㄹㅈㄷ.전개되면서 좀 사기같은 monster나와서 긴장감 좀 풀림… 그래도 개인적으로 개그도 그렇고…재밌게 봄.근데 양조위 더 보고 싶은데;-;;;; 이게 젤 아쉬워요
211,핵노잼 마블 영화 안 같음
212,마블포장지에 중국 신파
213,장난하냐 중국 서유기랑 뭐가틀린거야
214,솔직히 블랙위도우보다 재밌음 싸움신도보면 주먹 발차기도 답답함이 없이 빠름.
215,재 미 없 음마블 아니면 안봤다그냥 이도 저도 아닌 중국 영화
216,중간중간 양동근 형님이 출연해서 몰입이 어려웠어여
217,미국이 중국보다 더 잘만든 중국 영화. 액션은 볼만한데 샹치와 만다린의 관계는 좀 부실하게 설명되지 않았나 싶다.
218,"윙이 나올 때만 "" 아, 맞다 이거 마블 영화였지;;"" 생각남."
219,"마블 잘 모르지만 몰라도 볼 수 있는 스토리가 전개돼서 나름 재밌게 봤습니다!! 중국 무술이나 중국풍이 느껴지는거 싫어하시면 비추하는데 스토리, 액션 등 볼만하네요~"
220,양조위의 마블 처음이자 마지막 영화. 양조위가 이 영화를 살렸다해도 과언이 아님!
221,재밌는데 평점 왜이럼..?
222,마블판 중국 찐하게 묻은 디워오직 양조위의 간지만 남은 영화양조위 덕분에 그나마 별2개.진짜 마블 영화 보다가 잠들뻔한건 처음
223,오랜만에 마블  후속을본다는것만으로도 뿌듯함  블위도 좋았으나 과거얘기라마블화이팅 디즈니 가즈아
224,마블이라기보단 짜장 스러워서 GG그돈으로 시장가서 상추나 드세요
225,마블의 새로운 세계관의 영화이긴했는데 중국배경이 아쉽습니다.
226,지금 볼꺼에요 재밋겟죠
227,영상미가 좋고 양조위 연기력일품남자주인공은 젠틀하고 괜찮았다 좀 심심한  면이 아쉽다 중국식 허구주의는어쩔수 없지만 너무 전통중시하는 중국주의가 거슬리긴함
228,현재 공감 높게 받은 평점들 양조위 빼고 전부 영화 안보고 적는놈들임. 억지 신파? 이게 신파면 엔드게임도 신파다. 디워? 디워 본 인간들이 말하는거라면 할말은 없지만 최소한 난 디워따위를 이 영화에 비빈다느게 이 영화에대한 큰 모욕임. 중국을 올려치는 영화다? 영화 제대로 안봤거나 보지도 않은놈. 중국 상영 금지 당한 영화가 중국을 올려치는 영화냐? 하여간 네일베 수준 알긴아는데 뭐 중국 조금이라도 관련되면 이악물고 발작해서 에베베 거리는거 개꼴보기싫네. 쿵푸허슬이랑 소림축구도 중국어 나오는데 왜 안깜? 그럼 평론가들은 전부 중뽕이라서 현재 평가 좋게 주나 보네ㅋㅋ
229,지루하고 재미없었어요ㅜ 마블영화중에 가장 실망스러운..
230,일반영화라 생각하면 not bad마블영화라 생각하면 Worst
231,사람들 그냥 중국 싫어해서 억까 존나 하는 것 같은데 ㅋㅋ 이 영화 중국에도 블랙리스트에 오른 영화인데 이렇게 까지 억까를 해야하나? ㅋㅋㅋ 마블에서 새로 시도한 동양풍 액션도 ㅈㄴ 잘뽑았더만 ㅋㅋ 스토리 개연성은 조금 부족하더라도 그걸 커버 할만한 연기력과 cg 액션씬이 있더만 억까 존나게들 하시내요 ㅋㅋ
232,여자 배우들 외모 좀 보고 캐스팅했으면 좋았을 거 같네요.
233,중국 선입견은 없다. 마블의 뉴 페이스 샹치의 성공적 데뷔라고 생각하는데 CG랑 오역때문에 평이 짜네요. 과소평가된 감이 적잖아 있어요.
234,마블은 좋지만 중국은 싫다.
235,옛날 생각나게 만드는  할리우드식 무협영화
236,뻐스씬 너무 멋짐. 좀 용이나오고 하니 애들용 같긴함 근데 액션들이 다들 너무 멋찜 샹치여동생동 양자경도. 여주인공 넘웃김
237,CG가 많아서 비현실적인 부분이 많았지만 그래도 여자분 덕분에 재밌게 봤어요
238,2020년에 만들어진 마블 시네마틱 유니버스 영화에서 CG티가 뿜어져나오는 장면이 있어서 충격. 양조위를 낭비해버리는 스토리에 졸도. 히어로를 기대하고 온 사람들에게 영화가 안겨주는 크리쳐들. 총체적 난국에 남는건 액션 뿐.
239,와.... 진짜 시간아까웠어요
240,"처음에 한국사람 인줄 알았는데 중국 사람이라고 하는 드립은 시무 리우가 캐나다 드라마인 김씨네 편의점에서 한국계로 나왔기때문에 마블에서 그걸 알고 치는 드립대사입니다, 아무것도 모르고 까는 사람들 특징이죠~ 사실 한국에선 중국풍 영화들은 매우 안좋게보져~ 외국에선 매우 평가가 좋음 영화인데 아쉽내요"
241,중국돈으로 마블에서 중국판타지영화 만들었네 ㅋㅋㅋㅋ 양자경 양조위가 많이 늙었다는것말고는 기억나는게 없다 ㅋㅋㅋㅋ
242,버스 씬이랑 도시에서 싸우는건 좋았는데 점점...초반까지만 해도 볼만합니다.
243,액션씬과 영상미가 좋았지만 급격한 스토리 전개가 아쉬운 영화쿠키 영상 2개는 소오름
244,작품이 어땠는지 묻는다면 형편없음. 재미가 어땠는지 묻는다면 훌륭했음.
245,액션은 조금 멋짐. 완전 재미없다
246,이거 보기 전에 '주인공 시진핑 닮았네'란 댓글을 보지 말았어야 했다.용나온다 욕나온다
247,기대하지않고 봤는데.. 생각보다 액션이 굉장했네요.. 특히 여동생건물 외벽에서의 싸움신은 정말 소름이 쭈삣쭈삣..너무 잼있게봤습니다~~
248,중국 혐오 유발 영화....
249,마블판 중국영화 인줄 알고 보러감....근데 그게 아니라 마블등장인물이 나오는 중국영화였음 보다가 중간에 나옴
250,마블 중국판. 옛날 홍콩영화를 보는듯한 액션 타격감. 근데 전체적인 서사는 마블이 아닌 것 같다. 얼기설기 등장하는 중국 고전들은 흡사 베이징 올림픽 개막식 리허설이 떠오를 정도. 아시아인으로서 공감점도 약하고 아쉬운 작품.
251,솔직히 초반 액션과 양조위만 볼만했음...
252,괜찮았지만 그렇게 좋지도 않은
253,샹치에는 삼겹살이
254,"혹평이 많아서 걱정했는데 중국영화느낌과 마블의 느낌을 동시에 다 잘 살려서 잘 봤습니다! 중국영화 특유의 분위기를 극혐하시는 분들에겐 비추입니다, 전 아이맥으로 다시 볼 생각!!"
255,후회없이 재밌게 잘봤습니다.
256,평이 안좋길래 기대 안하고 봤는데 재미있어요
257,I'm watching this movie alone in the theater.Now I realize why I'm here alone.
258,슬로우가 좀 많은데 괜찮은듯
259,마블에 짱깨묻음...
260,짱깨 자본력으로 마블 로비한 잡탕영화.. 쉬쇼우둥 데려오면 이 영화는 끝.
261,너무 재밌었다 최고!~!~!~!~!~
262,쓸데없는 걱정을 한 것 같다.페이즈4의 본격적인 시작을 알리다.
263,초반에 그 빠르고 박진감 넘치는 전개에다가 타격감 쩌는 액션까지 완벽했는데 중반부에 갑자기 탈로가 등장하면서 좀 루즈해짐 그러다가 후반에 용하고 드웰러의 싸움은 솔직히 이게 뭔가 했음…..차라리 웬우를 최종보스로 했으면…
264,진짜 마블 영화 보면서 존 적이 이 영화가 처음이다..;
265,기대없이 가서 대박 !!!
266,기대안하고 봤는데 은근 재미있었어요. 기대안하고 보는게 영화를 제일 잘 즐길수있을것같습니다
267,마블 영화 치고는 쏘쏘~ 큰 기대 안하고 보시면 됩니다. 양조위는 존멋!
268,헐리웃영화에서 동북아공정을 봐야 하다니... 돈의 힘이란...
269,시작은 신선했지만 끝은 전형적인 cg 떡칠 중국영화 같았다.
270,양조위가 주연을 맡는게 답이었다.. 아쉽다.. 10년만 젊었더라도..시무리우는 표정변화 거의 없어서 연기를 잘하는거같진않았다 초반버스액션씬은 끝내줬는데후반은 디워같았다 전형적인 용두사미..그리고 갑자기 중간에 감옥에서 유럽할배랑통닭새기나오는게 벙찌더라 애초에 마블코믹스에 나오는 샹치랑 주연이랑너무 이미지도 다르고.. (샤프하고 날카로운 이미지에 양동근을 데려오면 어쩌냐)블랙팬서1같은게 정말재밌었는데 이건 좀떨어지더라
271,다른 단점들을 무마하는 액션
272,소림축구보다 개연성이 없네
273,"오리엔탈리즘에 대한 서양의 기존 관념을 깨는 새로운 시각, 압도적 비주얼로 재탄생한 동양의 신비와 미(美)!"
274,난 재밌는데... 왜 평점 테러하는건가... 원래 시리즈의 첫시작은 설명하기 바쁜거 모르나...? 완전 재밌게 봤는데!
275,난 나름 재밌던데...
276,양조위가 넘 멋있었음 진심으로
277,
278,
279,샹치 너무 재밌다... 무술이 이제까지 보던 어벤져스하고는 다른 신선한 격투기라서 너무 좋았음...ㅠㅠㅠ 그리고 샹치도 좋지만 샹치 동생 너무 간지남!  ost는 또 왤케 좋은겨... !!
280,"팔찌차고 선녀 찾아 오려는, 1000살 먹고도 어리석은 나무꾼 이야기."
281,
282,옛다 니들이 좋아하는 거지?
283,가면갈수록 뻔해지는 중국영화;;
284,솔직히 초반에는 괜찮네 했는데 이건 뭐 그냥 마즐 영화가 아니라 중국 무협영화랑 다를바없네요 솔직히 마블 영화중 가장 실망한 작품
285,이건…DC 아냐? 걍 DC인데?
286,"처음 버스 액션은 좋았는데, 마지막이 디워라니..."
287,시무리우와 양조위가 열일 한 듯한 영화예요시무리우 멋져서 보는 내내 좋았네요좋아하는 양조위 보러 갔는데..  시무리우로 갈아탈것 같아 조금 미안하기도 했어요..  그래도 동안배우 양조위 멋집니다~~~천년이나 텐링즈 수장으로 있던 사람이 너무 허무하게 악의 속삭임에 빠진듯 하지만.. 그래도 동양인 정서가 맞았는지 저는 살짝 뭉클하기도 하면서 잘 봤어요후속작이 너무너무 기대됩니다
288,샹치 배우가 굉장히 신선하고 매력적이게 보였습니다. 중국 무술영화 별로 흥미 없었는데.. 처음부터 끝까지 눈을 못때고 봤네요!!
289,댓글들 코로나때문이라고해도중국 억까개심한데?..개인적으로 지금까지나온 마블중 제일재밌었음욕하는댓글들 지금도 믿기힘듬;;
290,왜 총을 안쓰지 싶긴 하지만....ㅎ
291,그냥 선동영화 그이상도 이이하도아님
292,처음엔 아 그렇구나 하고 봣는데 뒤로갈수록 중국영환진 마블영환지 햇갈릴 정도임 ㄹㅇ 양조위 때매 봤는데 양조위까지 죽어서 더 실망 ㅎㅎㅎㅎ
293,39년만에 처음  써본다 이런거..보지마라..
294,일단은 중국냄새 두1지게 납니다 진짜 내가 본 마블 영화중에 젤 극혐이였음. 재미도 없고 감동도 없는게 이런거임
295,
296,마블 좋아해서 봤는데 개인적으로 너무 실망했어요...중국 무협물에 나올것 같은 엉성한 CG...스토리 전개도 이상하고 생뚱맞은 느낌 마블 영화 아닌거 같았어요ㅠㅠ
297,초반은 개존잼 중반이후로는 흠.. 그래도 예상보다 재밌었다. 스토리는 유치해도 CG가 아주 훌륭하고 액션이 좋아서 어느정도 커버됨. 주인공친구가 씬스틸러ㅎㅎ
298,마블영화의 몰락의 시작임
299,마블영화 느낌 1도 안남. 웡 안나왔으면 그냥 영어로 말하는 중국 영화임 ㄹㅇ
300,최악중의 최악이네...마블 영화가 맞는거냐...??
301,다들 재미없다 이러는데 해외에 비해 인지도도 낮고 스토리 및 개연성이 좀 별로고 사람들마다 호불호가 갈릴 수 있다고봐 근데 재미있어 하는사람들도 많아보이는데 단지 재밌다는 이유로 알바다 조선족이다 중국빨아주는 애들이다 라고 하는 사람들은 무슨 심보인지 모르겠다 그리고 억지로 까는 사람들이 종종 보이는데 자세히 모르는거 같길래 몇마디 적음 베댓글 보면 영화에서 동북공정 중국몽 중국빨아주는 내용이 나온다고 하는데 그런내용 전혀나오고 주연은 캐나다인이고 감독이나 양조위 양자경은 홍콩민주주의 지지하고 중국에서 출연금지된 상태인데 제대로 알지도 못하고 무작정 안보고 동북공정이다 뭐다 까는건 좀 아니라고 본다 또 할말이 있다면 샹치라는 히어로가 원래 중국 출신 히어로인데 중국배경을 넣지 그럼 미국배경을넣어? 한국배경을 넣어? 아니잖어 제대로 알고 까던지 해야지 단지 중국배경이다 중국히어로다 라는 이유로 억지로 까진 마라 물론 본인도 중국 싫어하고 혐오한다 근데 제발 부탁인데 저러한 이유로 까지말고 영화는 영화로만 봤으면 좋겠다 하여튼 반박못하면 꼭 비추누르는 애들이 있더라
302,더럽게 재미없는 짱깨시바견영화
303,진짜 개재밌는데 기대안하고 봐서 그런가
304,스토리는 특별할 게 없고 지나치게 빨라 몰입감이 떨어지며 전체적으로 할리우드의 오리엔탈리즘이 엿보임. 20년전 와호장룡에 대한 향수가 보인달까. 그러나 이 모든 구멍에 설득력을 부여하는 양조위. 눈빛으로 빈틈을 모두 채워버린다. 액션도 마블답게 괜찮음. 아무래도 좀 구리지만 오히려 특색있어서 캐릭터 자리잡는덴 도움이 될 듯
305,액션씬 영상미가 너무 좋고 재밌었어요 중간중간 나오는 배경음악도 좋고 중국이 배경이니 중국영화 느낌나는 건 당연함 보통 시리즈 첫 작품은 서사를 설명하는 느낌이라 지루할 때도 많은데 즐길거리가 많아서 지루하지 않고 재밌었음!!
306,분명히 중반까지는 재미있었는데 후반으로 갈수록 왜 이렇게 중국영화가 생각나는지.. 여러모로 아쉬웠음
307,솔직히 중국이라서 평테 한 사람도 있을 수 있고  하지만 해외에선 평점이 높다는 것 호불호 갈리긴하니 우리나라만 연기 ost 액션 좋았지만 스토리가 아쉽긴했고 평작정도 DPR 자이언티 비비 서리 마블진출   국뽕!
308,그냥 중국영화... 심지어 재미도 없음
309,하... 내 시간.... 러닝타임만 개김 ㅡㅡ
310,"재밌게 봤는데 너무 억까가 심하다..애초에 중국영화도 아니고,감독도 홍콩사람이고,중국에서 상영금지 먹었는데 무슨 중국 타령....ㅋㅋ그리고 재밌게 봤을수도 있지 왜 재밌게 봤단 글에 비추를 쳐박고있냐"
311,쿵푸 그리고 SF 좋아한다면 그냥 한번 볼만한 영화
312,이게 마블영화라고? 웃기고있네 넷플릭스에 있는 음양사 그거랑 똑같음
313,"맨손 액션, cg 가 멋졌고 주인공 아빠역 맡은 배우분도 너무 잘생김..내용은 평범했다"
314,중국 무협을 그렇게 챙겨보던 편은 아닌데도 옛추억이 많이 나더라구요...양자경씨 양조위씨의 깊은 연기 너무 좋았습니다
315,기존 마블 영화보다는 중국영화 느낌이 많이 나는편임 액션하나는 볼만한편인데 굳이 러닝타임 이렇게 끌고가야 하나 싶을정도로 불필요한 유머도 장면도 많았던거 같음 그래서 중간중간 몰입하는데 방해되는 요소들이 있고 호불호가 갈리는게 아닐까 싶다 좀 오글거리는 요소들도 많이 있는편이고 어쨌든 그냥 가벼운 마음으로 한번쯤은 볼만한 영화인데 굳이 아이맥스나 돌비관이나 이런거 찾아갈만한 영화는 아닌듯 싶다 그만한 가치는 없다고 생각하고 일반 상영관에서 보거나 아니면 VOD 기다려도 무방하다고 생각한다
316,마블의 새로운 시도였던 것 같고 액션씬은 어떤 마블 영화보다도 좋았다
317,이번에 디워2 나온건가요?
318,기존 마블 느낌이 적음. 옛 향수 불러일으키는 밀접 타격 액션은 좋은데 그 외 매력 요소는 글쎄... 양조위가 마블을 살렸네~
319,가볍게 볼 만한 영화인 것 같다고 느꼇다.
320,중반까지 멋진 액션으로 풀어나갔으나 후반부의 중국식 판타지가 재를 뿌렸다.
321,와 쿵푸허슬하고 블랙팬서 섞어놓은 느낌블랙팬서1 이후 두번째 실망한 마블영화
322,하아 그지 같아서...
323,마블이 갈수록 왜이럼....B급이 되가고 있네....
324,솔직히 재밌습니다 맨인블랙3가 제 인생영화인데 그만큼 재밌었던 영화중 손에 꼽힐정도임.초반부 액션신 완전 스릴넘치고 쫄깃함.그리고 거기 나오는 마을이 엄청 평화로워보임. 영상미도 굳굳주인공들이 중국인이라 중국자본 들어간 영화인가? 선입견 갖을뻔 했는데 다행히 찾아보니 중국자본 안들어간 영화라 중국에선 개봉안한다고 하네요
325,설마설마 했는데 역시나 기대 이하에요
326,걍 중국인들을  위한 영화 1/3  잤다
327,짱깨그자체     돈많으면 걍
328,'마블의 중국화' 보는내내 지루하고 재미1도없음 천원주고도 보기 아까운 영화
329,
330,나 양조위를 사랑하게 됨... 마블아 잘했다 잘했어..
331,영상미는 좋아요 중국무술영화본거 같네요
332,평점때문에 볼까말까 고민하지말고 극장가서 직접 보시길 바랍니다. 믿고 보는 마블
333,"그냥 중국영화 보는거,,,마블영화가 아니었다면 절대 극장에서 안볼영화,,뒷부분은 심형래 디워 보는줄 알았음,,"
334,전 재밌게 봤습니다 다른 마블영화랑 차별 되어서 더 새로웠던거 같네요
335,"촌스러울 수도 있고 자칫 밋밋할 수 있는 맨몸액션이지만 슬로모션, CG를 적절히 잘 사용해서 오히려 멋이 배가 되어 보는 내내 눈이 즐거웠습니다. 스토리는..뭐.. 슈퍼히어로물은 어차피 스토리 때메 보는 거 아니잖아요? 만다린과 텐링즈의 전설이란 말은 맞습니다. 서사 굴곡이 샹치보다는 만다린에 의해 형성되어있네요. 이 정도면 잘 만든 마블영화에 속한다고 봐야죠."
336,흠음…성룡영화인가?…
337,중국 돈 많이 썻나보네요..역시 중국 액션은 중국풍 나서 나쁘진 않았는데한국 욕을 왜이리 많이하는지?
338,중국무협+고질라를 마블로 포장해놓음스토리는 뭐라 설명할게없고기존 마블과 연계점도 모르겠고내가 봤던 마블시리즈중 제일 졸작임
339,평점도 낮고 평이별로라 기대하나도 안하고 양조위만 믿고 봤는데 지루하고 개연성없는 중국무협을 영상미 세련되게 마블이 완성시킨느낌이고 내용도 나름 볼만했음 점수준다면 8.5정도  중국느낌도 물씬나고 잘살린것같음
340,예상을 뛰어넘는 아시안계 첫 마블히어로  영화. 주인공  샹치의 활약과 격투기 씬들이 이전 영화에서는 볼 수 없었던 것입니다. 속편이 계속 나왔으면 좋겠어요
341,"평점 1점대 너무 많아서 별 생각 안하고 가서 봤는데 완전 괜찮음. 사실 그냥 백인애들이 그리는 아시안뽕 영화 정도에 마블 히어로 얘기니 내용도 없을 줄 알았는데 나름 스토리도 있고, 우리는 아시아권 문화라 너무 익숙해서 잘 모르지만 미국애들이 표현하는 것 치고 엄청 괜찮았음. 용에 붉은 색 쓴거나 링에 노란색(황금색)을 쓴거나..무기를 봉, 단검, 링 (나타도 생각남 원래 고전소설이나 그런데 내가 모르는 그런 무기가 있나? 잘 몰라서) 활이나. 중간 중간 대나무들. 그 북경사자춤?의 사자를 표현한 것 등등 (근데 공사에 철근 대신 대나무 댄 건 너무 간 거 아니냐ㅋㅋㅋㅋ) 사람들이 중국영화 라고 욕할만큼(?) 표현하려던 목적 자체는 안촌스럽고 자연스러웠다고도 봄. 문제라면 그냥 그래픽인듯ㅋㅋㅋ그래픽 보니까 제작비가 넉넉해 보이진 않았는데 요즘 코로나라 그런지 영화가 어째 대체적으로 다 그러니..뭐 그거야 봐줄만 하다고 봄. 무협 영화 진짜 싫어했는데; 왜 좋아하는지 알 것 같더라. 구미호도 그렇고 마지막 띄우는 등도 그렇고 아콰피나님 무기는 활이고 그런 거보면 중국을 넘어선 다른 아시안적 요소가 많이 있는데 (사실 위로 따라가면 다 같지만ㅋㅋ) 중국 싫어하면 보면 싫어함 동양 판타지라고 생각하고 보면 주인공들도 섹시하고 멋짐. 영화 시간이 길긴 길음; 모르고 가서 좀 놀램;"
342,남주 우리동네 슈퍼 사장님 닮아서 몰입이 안됨
343,평점 이따구인거 보고 영화관에서 안보고 방에서 봤으면 진짜 열받았겠네 액션 볼거면 닥치고 보러가세요. 예고편보고 어 괜찮은거같은데? 라고 생각한 나 자신에게 감사함을 표합니다.
344,진짜…중뽕이 넘넘 심해요. 도중에 나갈뻔…;;
345,나는 진짜 재밌었다 최고다. 욕하지 마라
346,돈이 궁했나보네ㅋㅋㅋ마블은 이제 끝났어
347,
348,개인적으로 마블의 의리로 봤다. 하지만 액션씬은 마블에서 기대했던 그것보다 좋았고 그래픽역시 중국배우들이 나와서 생각했던중국스러운 영화는 아니었고 나름 멋진고 방대한 영상미를 보여준다.허나 기존의 마블 스토리와는 동떨어진 스토리였다. 타노스가 지구를 지배했어도 전설속에 동물에게졌을것이다. 개인적으로 킬링타임 얘기하는 사람들 이해는 간다만 샹치단일영화로만 본다면어디하나 흠잡을때 없는 멋진영화다. 샹치 대박나세요~ 웡 아져씨 개웃김 ㅋㅋ
349,그래도 돈값은 한다 볼만함
350,인스타에 놀아났다..마블의 역대 실패작…
351,중국한테 돈을 얼마나 받은거냐 ㅡㅡ 진짜 돈아까워 죽겠네.. 디워 마블판
352,영화볼때 핸드폰보는사람 극혐했는데 처음으로 이해됐음
353,네이버 평점 댓글 알바 오지네 다음 평점이 더 신빙성 있다
354,볼만함. 마블영화같음. 다만 CG가 어설픔.. 저것도 힘들게 만든 거겠지만... 그래도 나쁘지않음.
355,아니 얘들아 다같이 족되자고 이렇게 평점 높게주는거야?? 이런 빨간 드래곤 나오는 이딴 영화를?? 왜그래 진짜..
356,네이버후기 진짜 믿을게 못된다무슨 메이드인차이나? 찐메이드인어메리카~ 주연급으로 나온 두명다 엄청 유명한 사람들인데관종놈들 포스터나 대충 보고 댓글다니? 영화를 보기는 하고 리뷰달아라
357,마블 껍데기 쓴 뻔한 중국 영화
358,재밌구만 평점 왜 이래?
359,재미만 있구만ㅋㅋㅋ편견없이 기대없이 사전지식없이 영화관 들어가서 보면 짱재밌게 보고 나올수 있음
360,진짜 재밌는데 ㅋㅋㅋ 뭔 감상평이 이따구임? 보는내내 소름 돋았구맠
361,영상미가 좋고 재미있었습니다.
362,
363,와...진심 돈아깝 혹시나 싶어 통신사 포인트로 본게 신의 한수다
364,이게 재밌다고?? 진심이야???
365,너 대체 무슨 영화야? ... 네가 생각하는 그런 영화가 아니야~
366,기대안하고 봐서였는지~ 너무 재밌었어요~ 액션씬 정말 신나더라구요~
367,
368,"오랫동안 기다려왔던 마블 영화이니만큼 큰 기대가 따르는 건 어쩔 수 없었지만, 그럼에도 불구하고 ""믿고 보는 마블""이라는 칭호가 있듯 평작이었던 것 같다. 만약 마블을 좋아하고 세세한 스토리의 연결을 보고 싶다면 당연히 꼭 봐야할 영화고 마블에 큰 관심이 없다면 그냥 넘어가도 좋을 영화인것 같다. 개인적으로는 주변사람들에게 한 번쯤 볼 만한 영화라고 소개할 것 같다."
369,시진핑 닮은 주인공 정말 밥맛임..중화사상 쪄든 돈많이 들어간 독립영화 수준..
370,주인공들 비쥬얼이 그렇게 끌리지 않아 큰 기대는 안했는데 너무 감동적이고 재밌었어요 액션이 특히 좋고 ㅠ ㅠ
371,액션 좋아하면 진짜 재밌게 볼만함 마블영화 골수팬인데 진짜 재밌게 봤고 이번에 2차 뛰러 갑니다! 영화속에 중국 혹은 홍콩의 문화가 녹아있다고 해서 해서 무작정 거른다고 하거나 억까하는 사람들은..뭐 그만큼 영화를 이해하려는 시도가 없었던 듯 싶네요. 한번쯤 볼만한 영화이고 주인공도 충분히 매력적인 영화입니다. 앞으로 샹치의 활약이 기대되네요!
372,그렇게 전설이 되어버렸다
373,아니 진짜 처음에 양조위랑 여자랑 싸울때 진짜 속으로 저것들 도데체 뭐하냐? 이런 생각이 들었습니다. 싸우려면 제데로 싸우든가 무슨 클로우즈업을 돌아가면서 싸운건지 도무지이해가 안돼네요? 사랑을 표현하려는건 좋은데 이건 좀 손발이 막 오그라드네요.
374,
375,너무 중국 느낌이 강함 스토리가 흘러갈때 불필요한 중국 무술을 강조함
376,스토리는 전형적인 히어로무비라서 볼만하고 초~중반에 나오는 액션씬이 정말 좋음
377,리뷰에 뭐 동북공정이다. 중국풍느껴져서 별로다 하시는데 그건 그냥 인종차별적이고 일방적인 리뷰이구요. 마블이 결국 액션판타지 영화인데그대로 즐기시면 됩니다. CG도 나쁘지않았구요. 우리가 즐겨봤던 엽문 시리즈와 쿵푸허슬 같은경우에도 전혀 이질감없이 즐겼지 않습니까 ?저는 중국을 개인적으로 안좋아하지만 해당 영화는 즐겁게 봤습니다.다만 전개가 매우 빠르기 때문에 집중하지 않으면 줄거리 정리가 안될수도 있습니다.
378,역시 마블은 나를 실망시키지 않는다
379,엽문 + 디워 + 이렐리아
380,중간에 잠와서 졸았음 일반마블이랑 느낌이 다름
381,하.. 영화방금 아니 지금 엔딩 크레딧 올라가는중.그냥 일반영화 좋아하는 사람으로써 써보자면 일단 이거 할거없고 난 개연성없고 그냥 화려하고 오그라들어도 무지성으로 볼수있다하면 보세요. 그거 외엔 마블 딱지 떼면 그냥 중국 영화에요 개연성없어 재미도없어 원래 마블하면 가슴이 웅장해지고 그런거 기대하고가잖아요? 가슴 웅장은 넘어가고 걍 졸려요 하.. 네뭐 이정돈데 봐보세요..
382,진짜 이거 중국영화라는 인식때매 별점테러 하고 댓글알바임 진짜 존나 재밌음 아시아인의 위상을 한단계 올렸다고 생각함
383,중국영화!!! 생각했던 마블영화는 아님
384,속도감 있는 액션에 스케일도 크고 상상치도 못한 전개 충격적.
385,"이게 블랙위도우 보다 더 재밌다. 블랙위도우는 보면서 좀 지루했다.  근데 네이버 평점 보면 블랙이 9점이 넘고 상치는 8점도 안되냐.잘못된 평점.  Google봐도 Rotten Tomatoe, IMDB, Metacritix 다 상치가 블랙위도우 보다 평점 높다. 액션 제대로 재밌었음."
386,아니 충분히 재밌고 중국에서도 상영금지 받아서 오히려좋구만 왜들 까내림??
387,훠훠훠 좋슙니댜 어붼져스를 이겨쥬세요 중국몽ㄷㄷ하노
388,재밌는데 스토리가 좀 엉망임.배우들 연기는 좋음.영상미도
389,중국산 그냥 중국영화 마블은 개뿔
390,진짜 재밌어요
391,생각보다 재밌음ㅇㅇ ost가 좋음
392,샹치에서는 마블 특유의 코미디 소스도 별로였음기대이하 였고 양조위만 기대이상버스 액션신 제외하고 기억나는 액션신도 별로 없었다.
393,재미잇어요!!! 샹치 여동생분 넘 이뻐요
394,
395,음 마블이니깐 보는데  캡마랑 비슷한 것 같은 느낌 몽같기도 하고 개인적으로 주인공은 김씨네 편의점에 나왔던 배우라 익숙하긴한데 뭔가 캐릭터 갭이 크다보니 뭔가 낮설고 솔직히 7점이상은 아닌거 같음
