조건별분석,,,,
[검색조건],,,,
,분류: 지상,,,
,요소 : 습도,,,
,검색구분 : 일,,,
,지역/지점명 : 목포,,,
,기간 : 2011 ~ 2021년 01 ~ 12월 01 ~ 31일,,,
,,,,
,,,,
"	",,,,
"	",,,,
"	",,,,
"	",,,,
"		",,,,
"	",,,,
"		지점번호",지점명,일시,평균습도(%rh),최저습도(%rh)
"		165",목포,2012.8.4,77.8,55
"		165",목포,2012.8.5,79.1,47
"		165",목포,2012.8.6,81.1,57
"		165",목포,2012.8.7,78.8,55
"		165",목포,2012.8.8,71,49
"		165",목포,2012.8.9,75.4,62
"		165",목포,2012.8.10,86.6,69
"		165",목포,2012.8.11,82.1,64
"		165",목포,2012.8.12,85.5,69
"		165",목포,2012.8.13,96,86
"		165",목포,2012.8.14,90.3,77
"		165",목포,2012.8.15,88,77
"		165",목포,2012.8.16,92.4,78
"		165",목포,2012.8.17,88.1,70
"		165",목포,2012.8.18,88.4,71
"		165",목포,2012.8.19,87.1,69
"		165",목포,2012.8.20,92.3,82
"		165",목포,2012.8.21,83.1,66
"		165",목포,2012.8.22,98.3,92
"		165",목포,2012.8.23,93.6,78
"		165",목포,2012.8.24,98.5,89
"		165",목포,2012.8.25,86.5,62
"		165",목포,2012.8.26,76.5,57
"		165",목포,2012.8.27,77,67
"		165",목포,2012.8.28,97.1,85
"		165",목포,2012.8.29,95.3,78
"		165",목포,2012.8.30,94.4,81
"		165",목포,2012.8.31,82.5,60
"		165",목포,2012.9.1,86.9,66
"		165",목포,2012.9.2,87.3,62
"		165",목포,2012.9.3,86.5,55
"		165",목포,2012.9.4,92.6,76
"		165",목포,2012.9.5,86.4,65
"		165",목포,2012.9.6,77.3,52
"		165",목포,2012.9.7,87.1,67
"		165",목포,2012.9.8,87.5,68
"		165",목포,2012.9.9,97.6,87
"		165",목포,2012.9.10,88.9,68
"		165",목포,2012.9.11,85.9,58
"		165",목포,2012.9.12,85.9,54
"		165",목포,2012.9.13,95.6,80
"		165",목포,2012.9.14,88.9,70
"		165",목포,2012.9.15,80.6,60
"		165",목포,2012.9.16,100,89
"		165",목포,2012.9.17,98.6,92
"		165",목포,2012.9.18,81.6,64
"		165",목포,2012.9.19,82.4,53
"		165",목포,2012.9.20,88.6,66
"		165",목포,2012.9.21,86.6,43
"		165",목포,2012.9.22,86.1,48
"		165",목포,2012.9.23,85.6,53
"		165",목포,2012.9.24,86.1,56
"		165",목포,2012.9.25,82.1,48
"		165",목포,2012.9.26,72.1,36
"		165",목포,2012.9.27,86.1,64
"		165",목포,2012.9.28,84.1,65
"		165",목포,2012.9.29,71.6,53
"		165",목포,2012.9.30,81,64
"		165",목포,2012.10.1,87.6,62
"		165",목포,2012.10.2,84.5,51
"		165",목포,2012.10.3,87.4,54
"		165",목포,2012.10.4,86.6,58
"		165",목포,2012.10.5,87.1,60
"		165",목포,2012.10.6,81.8,53
"		165",목포,2012.10.7,80.3,55
"		165",목포,2012.10.8,75.6,50
