조건별분석,,,,,
[검색조건],,,,,
,분류: 지상,,,,
,요소 : 강수량,,,,
,검색구분 : 일,,,,
,지역/지점명 : 목포,,,,
,기간 : 2011 ~ 2021년 01 ~ 12월 01 ~ 31일,,,,
,,,,,
,,,,,
"	165",목포,2011.12.9,0.1,,
"	165",목포,2011.12.10,0.1,,
"	165",목포,2011.12.11,,,
"	165",목포,2011.12.12,,,
"	165",목포,2011.12.13,,,
"	165",목포,2011.12.14,0,,
"	165",목포,2011.12.15,0,,
"	165",목포,2011.12.16,2.8,,
"	165",목포,2011.12.17,0,,
"	165",목포,2011.12.18,0,,
"	165",목포,2011.12.19,,,
"	165",목포,2011.12.20,,,
"	165",목포,2011.12.21,0,,
"	165",목포,2011.12.22,0.1,,
"	165",목포,2011.12.23,0,,
"	165",목포,2011.12.24,2.9,,
"	165",목포,2011.12.25,0.2,,
"	165",목포,2011.12.26,0.4,,
"	165",목포,2011.12.27,,,
"	165",목포,2011.12.28,,,
"	165",목포,2011.12.29,0,,
"	165",목포,2011.12.30,,,
"	165",목포,2011.12.31,,,
"	165",목포,2012.1.1,0.2,,
"	165",목포,2012.1.2,,,
"	165",목포,2012.1.3,1.7,,
"	165",목포,2012.1.4,1.7,,
"	165",목포,2012.1.5,0,,
"	165",목포,2012.1.6,,,
"	165",목포,2012.1.7,,,
"	165",목포,2012.1.8,,,
"	165",목포,2012.1.9,,,
"	165",목포,2012.1.10,,,
"	165",목포,2012.1.11,0,,
"	165",목포,2012.1.12,,,
"	165",목포,2012.1.13,0,,
"	165",목포,2012.1.14,,,
"	165",목포,2012.1.15,,,
"	165",목포,2012.1.16,,,
"	165",목포,2012.1.17,,,
"	165",목포,2012.1.18,0,,
"	165",목포,2012.1.19,0.5,,
"	165",목포,2012.1.20,1,,
"	165",목포,2012.1.21,4,,
"	165",목포,2012.1.22,0,,
"	165",목포,2012.1.23,0.2,,
"	165",목포,2012.1.24,0.3,,
"	165",목포,2012.1.25,3,,
"	165",목포,2012.1.26,0,,
"	165",목포,2012.1.27,,,
"	165",목포,2012.1.28,,,
"	165",목포,2012.1.29,,,
"	165",목포,2012.1.30,,,
"	165",목포,2012.1.31,1.5,,
"	165",목포,2012.2.1,0.2,,
"	165",목포,2012.2.2,2.3,,
"	165",목포,2012.2.3,0.7,,
"	165",목포,2012.2.4,,,
"	165",목포,2012.2.5,,,
"	165",목포,2012.2.6,6.5,,
"	165",목포,2012.2.7,0.8,,
"	165",목포,2012.2.8,1.5,,
"	165",목포,2012.2.9,0,,
"	165",목포,2012.2.10,,,
"	165",목포,2012.2.11,,,
"	165",목포,2012.2.12,,,
"	165",목포,2012.2.13,0.5,,
"	165",목포,2012.2.14,8.5,,
"	165",목포,2012.2.15,,,
"	165",목포,2012.2.16,,,
"	165",목포,2012.2.17,2.9,,
"	165",목포,2012.2.18,1.1,,
"	165",목포,2012.2.19,0.7,,
"	165",목포,2012.2.20,,,
"	165",목포,2012.2.21,1.5,,
"	165",목포,2012.2.22,0,,
"	165",목포,2012.2.23,,,
"	165",목포,2012.2.24,1.5,,
"	165",목포,2012.2.25,0.1,,
"	165",목포,2012.2.26,,,
"	165",목포,2012.2.27,,,
"	165",목포,2012.2.28,0.1,,
"	165",목포,2012.2.29,,,
"	165",목포,2012.3.1,0,,
"	165",목포,2012.3.2,2.5,,
"	165",목포,2012.3.3,,,
"	165",목포,2012.3.4,8.5,,
"	165",목포,2012.3.5,29,,
"	165",목포,2012.3.6,0.1,,
"	165",목포,2012.3.7,,,
"	165",목포,2012.3.8,,,
"	165",목포,2012.3.9,,,
"	165",목포,2012.3.10,,,
"	165",목포,2012.3.11,0,,
"	165",목포,2012.3.12,,,
"	165",목포,2012.3.13,,,
"	165",목포,2012.3.14,,,
"	165",목포,2012.3.15,,,
"	165",목포,2012.3.16,7.5,,
"	165",목포,2012.3.17,0.5,,
"	165",목포,2012.3.18,0,,
"	165",목포,2012.3.19,,,
"	165",목포,2012.3.20,,,
"	165",목포,2012.3.21,,,
"	165",목포,2012.3.22,29,,
"	165",목포,2012.3.23,14,,
"	165",목포,2012.3.24,,,
"	165",목포,2012.3.25,,,
"	165",목포,2012.3.26,,,
"	165",목포,2012.3.27,,,
"	165",목포,2012.3.28,,,
"	165",목포,2012.3.29,,,
"	165",목포,2012.3.30,45.5,,
"	165",목포,2012.3.31,,,
"	165",목포,2012.4.1,,,
"	165",목포,2012.4.2,1,0.9,22:46
"	165",목포,2012.4.3,10,4.5,3:21
"	165",목포,2012.4.4,,,
"	165",목포,2012.4.5,,,
